                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95714,                0.94859,                0.91015,                0.00333,                      1,                 0.4601,                0.32582,                 1.3491,                 3.0182,                  1.017,              0.0012871,              0.0012871,              0.0012871
                     36,                0.95108,                0.92262,                0.89198,                0.00278,                0.83333,                0.38172,                0.33845,                 1.1789,                  3.076,                0.98777,              0.0013216,              0.0013216,              0.0013216
                     37,                0.84496,                 1.1002,                0.86207,                0.00278,                0.83333,                0.38172,                0.33845,                 1.1789,                  3.076,                0.98777,              0.0013559,              0.0013559,              0.0013559
                     38,                0.80681,                 1.0045,                0.85247,                0.00771,                0.83333,                0.50284,                0.44291,                 1.0505,                  2.907,                0.98301,              0.0013901,              0.0013901,              0.0013901
                     39,                 0.8961,                 1.0452,                0.88139,                      1,                0.43228,                0.67139,                0.55193,                 1.0455,                 2.4887,                0.99355,              0.0014241,              0.0014241,              0.0014241
                     40,                0.87424,                0.94532,                0.86714,                      1,                0.43228,                0.67139,                0.55193,                 1.0455,                 2.4887,                0.99355,               0.001458,               0.001458,               0.001458
                     41,                0.83544,                 1.0056,                 0.8972,                      1,                0.41807,                0.70452,                0.49096,                 1.1616,                 2.4586,                 1.0146,              0.0014917,              0.0014917,              0.0014917
                     42,                0.75201,                 0.9783,                0.83484,                      1,                0.42505,                0.90885,                0.64514,                 1.2092,                 2.4968,                 1.0564,              0.0015252,              0.0015252,              0.0015252
                     43,                0.86095,                 0.8436,                0.89335,                      1,                0.42505,                0.90885,                0.64514,                 1.2092,                 2.4968,                 1.0564,              0.0015586,              0.0015586,              0.0015586
                     44,                0.81121,                0.86521,                0.91613,                      1,                0.48748,                  0.995,                0.63015,                 1.3268,                 2.1885,                 1.0921,              0.0015919,              0.0015919,              0.0015919
                     45,                0.88214,                0.96705,                0.88835,                      1,                0.49681,                  0.995,                0.66566,                 1.2367,                 1.9701,                 1.0692,              0.0016249,              0.0016249,              0.0016249
                     46,                0.70984,                 0.8619,                0.82046,                      1,                0.49681,                  0.995,                0.66566,                 1.2367,                 1.9701,                 1.0692,              0.0016578,              0.0016578,              0.0016578
                     47,                0.75715,                0.80028,                0.84305,                      1,                0.47239,                0.77333,                 0.5182,                 1.1618,                   1.85,                 1.0406,              0.0016906,              0.0016906,              0.0016906
                     48,                 0.8065,                0.83647,                0.90253,                      1,                0.66183,                  0.995,                0.69038,                 1.1561,                 1.7977,                 1.0204,              0.0017232,              0.0017232,              0.0017232
                     49,                0.85713,                0.77686,                0.86204,                      1,                0.66183,                  0.995,                0.69038,                 1.1561,                 1.7977,                 1.0204,              0.0017556,              0.0017556,              0.0017556
                     50,                0.79833,                0.95685,                0.90979,                      1,                 0.6511,                  0.995,                0.63995,                 1.2221,                 1.8352,                 1.0546,              0.0017879,              0.0017879,              0.0017879
                     51,                0.90903,                0.89759,                0.85229,                      1,                0.82015,                  0.995,                0.69468,                 1.3134,                 1.8021,                 1.0747,               0.001802,               0.001802,               0.001802
                     52,                0.77082,                0.80566,                0.86554,                      1,                0.82015,                  0.995,                0.69468,                 1.3134,                 1.8021,                 1.0747,               0.001798,               0.001798,               0.001798
                     53,                0.79621,                0.86035,                0.87889,                      1,                0.85593,                  0.995,                0.69365,                 1.3547,                  1.802,                 1.0601,              0.0017941,              0.0017941,              0.0017941
                     54,                0.76104,                 0.7974,                0.84868,                      1,                0.68078,                0.97214,                0.66551,                 1.1494,                 1.8775,                 1.0049,              0.0017901,              0.0017901,              0.0017901
                     55,                0.79324,                0.81755,                0.85689,                      1,                0.68078,                0.97214,                0.66551,                 1.1494,                 1.8775,                 1.0049,              0.0017862,              0.0017862,              0.0017862
                     56,                0.86084,                0.81472,                0.84728,                      1,                0.77471,                0.97214,                 0.7161,                 1.1148,                 1.7785,                0.98697,              0.0017822,              0.0017822,              0.0017822
                     57,                0.76192,                0.77284,                0.86417,                      1,                0.94459,                  0.995,                0.68838,                 1.2897,                 1.5396,                 1.0382,              0.0017782,              0.0017782,              0.0017782
                     58,                0.75928,                 0.7088,                0.86097,                      1,                0.94459,                  0.995,                0.68838,                 1.2897,                 1.5396,                 1.0382,              0.0017743,              0.0017743,              0.0017743
                     59,                0.69697,                0.72943,                 0.8365,                      1,                0.97678,                  0.995,                0.71364,                 1.2687,                 1.3251,                 1.0321,              0.0017703,              0.0017703,              0.0017703
                     60,                0.79713,                0.79479,                0.88122,                      1,                0.97142,                  0.995,                0.70702,                 1.1358,                 1.2853,                 1.0228,              0.0017664,              0.0017664,              0.0017664
                     61,                0.74151,                0.73386,                0.84738,                      1,                0.97142,                  0.995,                0.70702,                 1.1358,                 1.2853,                 1.0228,              0.0017624,              0.0017624,              0.0017624
                     62,                0.68786,                0.77743,                0.86223,                      1,                0.95572,                  0.995,                0.72077,                 1.0974,                 1.4141,                0.98965,              0.0017584,              0.0017584,              0.0017584
                     63,                0.77499,                0.75413,                0.84772,                      1,                0.98432,                  0.995,                0.72853,                  1.094,                 1.0495,                0.99453,              0.0017545,              0.0017545,              0.0017545
                     64,                0.69061,                0.76865,                 0.8291,                      1,                0.98432,                  0.995,                0.72853,                  1.094,                 1.0495,                0.99453,              0.0017505,              0.0017505,              0.0017505
                     65,                0.62528,                0.66487,                 0.8263,                      1,                0.98903,                  0.995,                0.72659,                  1.066,                0.90063,                0.99627,              0.0017466,              0.0017466,              0.0017466
                     66,                0.81871,                   0.72,                0.83299,                      1,                0.99419,                  0.995,                0.75247,                0.92497,                0.87642,                 0.9827,              0.0017426,              0.0017426,              0.0017426
                     67,                 0.6434,                0.59579,                0.85368,                      1,                0.99419,                  0.995,                0.75247,                0.92497,                0.87642,                 0.9827,              0.0017386,              0.0017386,              0.0017386
                     68,                0.85838,                0.82656,                0.87806,                      1,                 0.9972,                  0.995,                0.75447,                0.95795,                0.91612,                 1.0076,              0.0017347,              0.0017347,              0.0017347
                     69,                0.73317,                0.69299,                0.87883,                0.95362,                      1,                  0.995,                0.73153,                 1.1501,                 1.1514,                 1.0516,              0.0017307,              0.0017307,              0.0017307
                     70,                 0.7433,                0.68395,                0.83094,                0.95362,                      1,                  0.995,                0.73153,                 1.1501,                 1.1514,                 1.0516,              0.0017268,              0.0017268,              0.0017268
                     71,                0.84735,                0.73862,                0.80903,                      1,                 0.9484,                  0.995,                0.67261,                 1.2219,                 1.4485,                 1.0723,              0.0017228,              0.0017228,              0.0017228
                     72,                0.71261,                0.69952,                0.84416,                      1,                 0.9609,                  0.995,                 0.6951,                 1.2235,                 1.2186,                 1.0781,              0.0017188,              0.0017188,              0.0017188
                     73,                0.71862,                0.57627,                0.84314,                      1,                 0.9609,                  0.995,                 0.6951,                 1.2235,                 1.2186,                 1.0781,              0.0017149,              0.0017149,              0.0017149
                     74,                0.65376,                0.62045,                0.85884,                0.99709,                      1,                  0.995,                0.68062,                 1.1798,                0.98457,                 1.0596,              0.0017109,              0.0017109,              0.0017109
                     75,                0.67528,                0.61397,                0.84796,                0.98042,                      1,                  0.995,                0.70265,                 1.2189,                0.89038,                 1.0621,               0.001707,               0.001707,               0.001707
                     76,                0.75442,                0.63137,                0.84694,                0.98042,                      1,                  0.995,                0.70265,                 1.2189,                0.89038,                 1.0621,               0.001703,               0.001703,               0.001703
                     77,                0.71657,                 0.6655,                0.84847,                0.97664,                      1,                  0.995,                0.63684,                 1.3526,                0.97855,                 1.0809,               0.001699,               0.001699,               0.001699
                     78,                0.88403,                0.74612,                0.88636,                0.97042,                      1,                  0.995,                0.61512,                 1.3915,                 1.0655,                 1.0858,              0.0016951,              0.0016951,              0.0016951
                     79,                0.77392,                 0.6896,                0.87259,                0.97042,                      1,                  0.995,                0.61512,                 1.3915,                 1.0655,                 1.0858,              0.0016911,              0.0016911,              0.0016911
                     80,                0.79487,                0.80236,                0.89747,                0.97938,                      1,                  0.995,                0.69436,                 1.2657,                0.84769,                 1.0408,              0.0016872,              0.0016872,              0.0016872
