                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1351,                 1.3083,                 1.0794,                0.00364,                      1,                0.02211,                0.00871,                 2.4118,                  3.076,                 1.3203,             0.00063422,             0.00063422,             0.00063422
                     36,                 1.2266,                 1.2983,                 1.0839,                0.00364,                      1,                0.02211,                0.00871,                 2.4118,                  3.076,                 1.3203,             0.00065149,             0.00065149,             0.00065149
                     37,                 1.2487,                 1.3538,                 1.1218,                0.00373,                      1,                0.02211,                0.01069,                 2.4264,                 2.9635,                 1.3673,             0.00066868,             0.00066868,             0.00066868
                     38,                 1.1446,                 1.2766,                 1.0714,                0.00373,                      1,                0.02211,                0.01069,                 2.4264,                 2.9635,                 1.3673,             0.00068579,             0.00068579,             0.00068579
                     39,                 1.3934,                 1.6678,                 1.2959,                0.00403,                      1,                 0.4975,                0.05823,                 2.0287,                 2.8977,                 1.2366,             0.00070282,             0.00070282,             0.00070282
                     40,                 1.1826,                 1.3774,                 1.1799,                0.00403,                      1,                 0.4975,                0.05823,                 2.0287,                 2.8977,                 1.2366,             0.00071977,             0.00071977,             0.00071977
                     41,                 1.0328,                  1.257,                 1.0426,                0.00467,                      1,                  0.995,                0.49879,                  1.771,                 2.6992,                 1.1946,             0.00073664,             0.00073664,             0.00073664
                     42,                 1.2332,                 1.2986,                 1.1292,                0.00467,                      1,                  0.995,                0.49879,                  1.771,                 2.6992,                 1.1946,             0.00075343,             0.00075343,             0.00075343
                     43,                  1.052,                 1.1757,                 1.1113,                0.00485,                      1,                  0.995,                0.50012,                 1.8511,                 2.6213,                 1.2063,             0.00077015,             0.00077015,             0.00077015
                     44,                 1.0936,                 1.3226,                 1.1383,                0.00485,                      1,                  0.995,                0.50012,                 1.8511,                 2.6213,                 1.2063,             0.00078678,             0.00078678,             0.00078678
                     45,                0.92149,                 1.1754,                0.95528,                0.00538,                      1,                  0.995,                  0.597,                 1.4422,                 2.3284,                 1.0684,             0.00080333,             0.00080333,             0.00080333
                     46,                 1.1612,                 1.1983,                 1.1176,                0.00538,                      1,                  0.995,                  0.597,                 1.4422,                 2.3284,                 1.0684,             0.00081981,             0.00081981,             0.00081981
                     47,                0.97681,                 1.1343,                  1.039,                0.00585,                      1,                  0.995,                 0.4975,                 1.7669,                 2.3705,                 1.0605,             0.00083621,             0.00083621,             0.00083621
                     48,                  1.283,                 1.2696,                 1.1664,                0.00585,                      1,                  0.995,                 0.4975,                 1.7669,                 2.3705,                 1.0605,             0.00085252,             0.00085252,             0.00085252
                     49,                 1.0459,                 1.2389,                 1.1314,                0.00637,                      1,                  0.995,                 0.4975,                 2.1671,                 2.5319,                 1.1439,             0.00086876,             0.00086876,             0.00086876
                     50,                 1.2896,                  1.341,                 1.1927,                0.00637,                      1,                  0.995,                 0.4975,                 2.1671,                 2.5319,                 1.1439,             0.00088492,             0.00088492,             0.00088492
                     51,                 1.2021,                 1.4125,                  1.211,                0.00645,                      1,                0.14214,                0.05686,                 2.6836,                 2.7656,                 1.4286,               0.000901,               0.000901,               0.000901
                     52,                 1.2749,                 1.4028,                 1.1402,                0.00645,                      1,                0.14214,                0.05686,                 2.6836,                 2.7656,                 1.4286,               0.000917,               0.000917,               0.000917
