                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.91732,                 1.1416,                 1.1694,                0.79686,                0.70323,                0.79288,                0.46322,                 1.5532,                 1.8586,                 1.6479,             0.00089487,             0.00089487,             0.00089487
                     35,                0.98393,                 1.1823,                 1.1479,                 0.8265,                0.67569,                0.77356,                0.43181,                 1.6103,                 1.8266,                 1.6897,             0.00091963,             0.00091963,             0.00091963
                     36,                 1.0205,                 1.2821,                 1.1348,                0.76716,                0.73333,                0.79534,                0.43146,                 1.5866,                 1.7143,                 1.6969,             0.00094428,             0.00094428,             0.00094428
                     37,                 1.0628,                 1.1624,                 1.0241,                0.76716,                0.73333,                0.79534,                0.43146,                 1.5866,                 1.7143,                 1.6969,             0.00096881,             0.00096881,             0.00096881
                     38,                 1.3229,                  1.491,                 1.3558,                0.79901,                0.78837,                0.81954,                0.48353,                 1.4945,                 1.6035,                 1.6006,             0.00099323,             0.00099323,             0.00099323
                     39,                 1.1576,                 1.2916,                 1.2049,                0.76049,                0.62153,                0.79047,                0.53135,                 1.4719,                 1.8044,                 1.5051,              0.0010175,              0.0010175,              0.0010175
                     40,                 1.2111,                 1.3162,                 1.1736,                0.76049,                0.62153,                0.79047,                0.53135,                 1.4719,                 1.8044,                 1.5051,              0.0010417,              0.0010417,              0.0010417
                     41,                0.97215,                 1.3383,                 1.0455,                0.59436,                 0.5349,                 0.6014,                0.43881,                 1.5462,                 2.1374,                 1.5035,              0.0010658,              0.0010658,              0.0010658
                     42,                 1.0631,                 1.2863,                 1.1035,                0.58173,                0.49098,                0.59356,                0.32978,                 1.9522,                 2.4237,                 1.7597,              0.0010898,              0.0010898,              0.0010898
                     43,                 1.1137,                 1.2831,                 1.1982,                0.58173,                0.49098,                0.59356,                0.32978,                 1.9522,                 2.4237,                 1.7597,              0.0011136,              0.0011136,              0.0011136
                     44,                0.92399,                  1.264,                 1.0555,                 0.4801,                0.50635,                 0.4944,                0.24269,                 2.1558,                 2.4781,                 2.2508,              0.0011374,              0.0011374,              0.0011374
                     45,                 1.1543,                 1.1652,                 1.0721,                 0.6498,                0.46586,                 0.6121,                0.29303,                 1.9459,                 2.0732,                 1.9166,               0.001161,               0.001161,               0.001161
                     46,                 1.7282,                 4.5949,                 1.3403,                 0.6498,                0.46586,                 0.6121,                0.29303,                 1.9459,                 2.0732,                 1.9166,              0.0011845,              0.0011845,              0.0011845
                     47,                0.98222,                 1.1372,                 1.1268,                0.58009,                0.65776,                 0.6541,                0.28891,                 1.9873,                 1.9815,                 1.8622,              0.0012079,              0.0012079,              0.0012079
                     48,                 1.1466,                 1.4287,                 1.1678,                 0.5648,                0.58407,                0.69322,                0.31687,                  1.864,                 1.9682,                 1.7583,              0.0012312,              0.0012312,              0.0012312
                     49,                 1.7535,                 4.1828,                 1.5794,                 0.5648,                0.58407,                0.69322,                0.31687,                  1.864,                 1.9682,                 1.7583,              0.0012544,              0.0012544,              0.0012544
                     50,                 1.5805,                 3.3463,                 1.8434,                0.81143,                0.62106,                0.73666,                0.42376,                 1.7441,                 1.9222,                 1.7609,              0.0012775,              0.0012775,              0.0012775
                     51,                 1.0165,                 1.1699,                 1.0852,                0.69256,                0.70312,                0.73667,                0.43402,                 1.6628,                 1.8792,                 1.7788,              0.0012875,              0.0012875,              0.0012875
                     52,                 1.0991,                 1.4343,                 1.1556,                0.69256,                0.70312,                0.73667,                0.43402,                 1.6628,                 1.8792,                 1.7788,              0.0012847,              0.0012847,              0.0012847
                     53,                 1.1278,                  1.215,                 1.1662,                0.64072,                0.76368,                0.82685,                0.53418,                 1.3619,                 1.5029,                 1.5325,              0.0012819,              0.0012819,              0.0012819
                     54,                0.99506,                 1.0832,                 1.0444,                0.81138,                 0.6156,                0.80169,                0.47946,                 1.4626,                 1.5049,                 1.5612,               0.001279,               0.001279,               0.001279
                     55,                 1.3843,                 1.9941,                 1.4848,                0.81138,                 0.6156,                0.80169,                0.47946,                 1.4626,                 1.5049,                 1.5612,              0.0012762,              0.0012762,              0.0012762
                     56,                 1.0842,                 1.4438,                 1.1232,                0.69215,                 0.6942,                0.71431,                0.45927,                 1.4014,                 1.5794,                 1.4671,              0.0012734,              0.0012734,              0.0012734
                     57,                0.88298,                 1.0072,                  1.062,                0.68106,                 0.6971,                0.72102,                0.49612,                 1.4662,                    1.7,                 1.6115,              0.0012706,              0.0012706,              0.0012706
                     58,                 1.1159,                 1.3229,                 1.1482,                0.68106,                 0.6971,                0.72102,                0.49612,                 1.4662,                    1.7,                 1.6115,              0.0012677,              0.0012677,              0.0012677
                     59,                 1.2683,                 1.7221,                 1.1254,                0.52463,                 0.6905,                0.66422,                0.45656,                 1.6152,                 1.8363,                 1.7679,              0.0012649,              0.0012649,              0.0012649
                     60,                 1.1082,                 1.3039,                 1.0879,                0.66905,                    0.6,                0.66817,                0.46772,                 1.5504,                   1.83,                 1.6957,              0.0012621,              0.0012621,              0.0012621
