                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.55006,                 1.5931,                0.64054,                0.43285,                0.97521,                 0.9882,                      1,                  0.995,                0.85688,                 0.9882,                      1,                  0.995,                0.80976,                0.64848,                 1.3837,                0.66459,                0.48561,                 1.3385,              0.0011585,              0.0011585,              0.0011585
                     87,                 0.5273,                 1.5287,                0.61642,                0.42635,                0.97548,                0.98615,                      1,                  0.995,                0.84162,                0.98615,                      1,                  0.995,                0.77847,                0.74516,                  1.409,                0.66221,                0.48596,                 1.4064,              0.0011486,              0.0011486,              0.0011486
                     88,                0.56951,                 1.4148,                0.63057,                0.40524,                0.95637,                0.98615,                      1,                  0.995,                0.84162,                0.98615,                      1,                  0.995,                0.77847,                0.74516,                  1.409,                0.66221,                0.48596,                 1.4064,              0.0011387,              0.0011387,              0.0011387
                     89,                0.53635,                 1.8289,                0.59794,                0.42028,                0.93971,                0.99102,                      1,                  0.995,                0.79657,                0.99102,                      1,                  0.995,                0.76409,                0.83105,                 1.4258,                0.66119,                0.49203,                 1.5262,              0.0011288,              0.0011288,              0.0011288
                     90,                0.54676,                 1.6897,                0.61394,                0.39495,                0.96048,                0.99626,                      1,                  0.995,                0.77202,                0.99626,                      1,                  0.995,                0.75697,                0.82741,                 1.3209,                0.65872,                0.51156,                 1.5358,              0.0011189,              0.0011189,              0.0011189
                     91,                0.47397,                 1.5573,                0.59862,                0.37805,                0.92474,                0.99626,                      1,                  0.995,                0.77202,                0.99626,                      1,                  0.995,                0.75697,                0.82741,                 1.3209,                0.65872,                0.51156,                 1.5358,               0.001109,               0.001109,               0.001109
                     92,                0.49879,                 1.3764,                0.59898,                0.37657,                0.92352,                      1,                0.99783,                  0.995,                0.78964,                      1,                0.99783,                  0.995,                0.75086,                0.80929,                 1.3441,                0.65646,                0.53746,                 1.5034,              0.0010991,              0.0010991,              0.0010991
                     93,                 0.5234,                 1.6458,                0.61126,                  0.402,                0.95184,                      1,                0.99871,                  0.995,                0.81088,                      1,                0.99871,                  0.995,                0.77329,                0.77238,                 1.3468,                0.65627,                0.52926,                 1.4566,              0.0010892,              0.0010892,              0.0010892
                     94,                0.53278,                 1.2606,                0.58314,                0.40118,                0.92869,                      1,                0.99871,                  0.995,                0.81088,                      1,                0.99871,                  0.995,                0.77329,                0.77238,                 1.3468,                0.65627,                0.52926,                 1.4566,              0.0010793,              0.0010793,              0.0010793
                     95,                0.50089,                 1.4764,                0.59865,                0.41833,                 0.9576,                      1,                0.98968,                  0.995,                0.72627,                      1,                0.98968,                  0.995,                0.73079,                0.72491,                  1.228,                0.65854,                0.56279,                  1.441,              0.0010694,              0.0010694,              0.0010694
                     96,                0.52967,                 1.4117,                0.58747,                0.41485,                0.96019,                      1,                0.98533,                  0.995,                0.69556,                      1,                0.98533,                  0.995,                0.74583,                0.75379,                 1.1964,                0.66268,                0.57915,                 1.4209,              0.0010595,              0.0010595,              0.0010595
                     97,                0.48183,                 1.3858,                0.57771,                0.37171,                0.94484,                      1,                0.98533,                  0.995,                0.69556,                      1,                0.98533,                  0.995,                0.74583,                0.75379,                 1.1964,                0.66268,                0.57915,                 1.4209,              0.0010496,              0.0010496,              0.0010496
                     98,                0.50793,                 1.4612,                0.60322,                0.40108,                0.93221,                      1,                0.98737,                  0.995,                0.73304,                      1,                0.98737,                  0.995,                0.77843,                0.77875,                 1.1989,                0.66245,                0.59484,                 1.4208,              0.0010397,              0.0010397,              0.0010397
                     99,                0.52165,                 1.2042,                 0.5981,                0.38715,                 1.0292,                      1,                0.98657,                  0.995,                0.69884,                      1,                0.98657,                  0.995,                 0.7324,                0.78154,                 1.2602,                0.65601,                0.59221,                 1.4314,              0.0010298,              0.0010298,              0.0010298
                    100,                0.52062,                 1.2455,                0.57513,                0.39784,                0.94791,                      1,                0.98657,                  0.995,                0.69884,                      1,                0.98657,                  0.995,                 0.7324,                0.78154,                 1.2602,                0.65601,                0.59221,                 1.4314,              0.0010199,              0.0010199,              0.0010199
                    101,                0.55441,                 1.6818,                0.61426,                 0.4154,                0.95119,                0.99958,                      1,                  0.995,                0.76052,                0.99958,                      1,                  0.995,                0.71718,                0.74601,                 1.3439,                0.65188,                 0.4844,                 1.4128,                0.00101,                0.00101,                0.00101
                    102,                0.53042,                 1.5384,                0.57444,                0.38685,                0.94237,                0.99281,                      1,                  0.995,                0.82097,                0.99281,                      1,                  0.995,                 0.7432,                 0.7144,                 1.3076,                0.64869,                0.47094,                 1.3628,              0.0010001,              0.0010001,              0.0010001
                    103,                0.54444,                 1.4951,                0.57882,                0.39227,                0.93456,                0.99281,                      1,                  0.995,                0.82097,                0.99281,                      1,                  0.995,                 0.7432,                 0.7144,                 1.3076,                0.64869,                0.47094,                 1.3628,              0.0009902,              0.0009902,              0.0009902
                    104,                  0.419,                 1.3115,                0.60369,                0.34714,                0.91256,                0.99028,                      1,                  0.995,                0.82307,                0.99028,                      1,                  0.995,                0.77369,                0.71739,                 1.2611,                0.64819,                0.47031,                 1.3849,              0.0009803,              0.0009803,              0.0009803
                    105,                0.48171,                  1.469,                0.59296,                0.39559,                0.92093,                0.99154,                      1,                  0.995,                0.78427,                0.99154,                      1,                  0.995,                0.74876,                0.86576,                 1.1662,                0.64777,                0.47296,                  1.511,              0.0009704,              0.0009704,              0.0009704
                    106,                0.50323,                 1.2619,                0.58874,                0.36464,                0.91783,                0.99154,                      1,                  0.995,                0.78427,                0.99154,                      1,                  0.995,                0.74876,                0.86576,                 1.1662,                0.64777,                0.47296,                  1.511,              0.0009605,              0.0009605,              0.0009605
                    107,                 0.5437,                   1.33,                0.59502,                0.41332,                0.96409,                 0.9922,                      1,                  0.995,                0.76708,                 0.9922,                      1,                  0.995,                0.78819,                0.91946,                 1.1042,                0.64964,                0.48193,                 1.5841,              0.0009506,              0.0009506,              0.0009506
                    108,                0.51337,                 1.3642,                0.59159,                0.39788,                0.95761,                0.99241,                      1,                  0.995,                0.76708,                0.99241,                      1,                  0.995,                0.79091,                0.86818,                 1.1203,                0.65211,                0.47937,                 1.5594,              0.0009407,              0.0009407,              0.0009407
                    109,                0.52599,                 1.6945,                0.59706,                0.43165,                0.92868,                0.99241,                      1,                  0.995,                0.76708,                0.99241,                      1,                  0.995,                0.79091,                0.86818,                 1.1203,                0.65211,                0.47937,                 1.5594,              0.0009308,              0.0009308,              0.0009308
                    110,                0.51128,                 1.4525,                0.57418,                0.39503,                0.92427,                 0.9925,                      1,                  0.995,                0.79006,                 0.9925,                      1,                  0.995,                0.77326,                0.78506,                 1.1605,                0.65381,                0.53429,                 1.4708,              0.0009209,              0.0009209,              0.0009209
                    111,                0.43742,                 1.2488,                0.57603,                0.37753,                0.92919,                0.99235,                      1,                  0.995,                0.79835,                0.99235,                      1,                  0.995,                0.72352,                0.77589,                  1.208,                0.65397,                0.47776,                 1.4718,               0.000911,               0.000911,               0.000911
                    112,                0.43883,                 1.5058,                0.60201,                0.35233,                0.88897,                0.99235,                      1,                  0.995,                0.79835,                0.99235,                      1,                  0.995,                0.72352,                0.77589,                  1.208,                0.65397,                0.47776,                 1.4718,              0.0009011,              0.0009011,              0.0009011
                    113,                0.48566,                 1.4103,                0.61477,                0.39972,                0.93642,                0.99268,                      1,                  0.995,                0.82455,                0.99268,                      1,                  0.995,                0.73555,                0.77882,                 1.2425,                 0.6565,                0.48953,                 1.4569,              0.0008912,              0.0008912,              0.0008912
                    114,                0.52133,                  1.456,                0.59897,                0.38802,                0.95172,                 0.9926,                      1,                  0.995,                0.81331,                 0.9926,                      1,                  0.995,                0.73353,                0.78586,                 1.2536,                0.66101,                0.50529,                 1.4389,              0.0008813,              0.0008813,              0.0008813
                    115,                0.46098,                 1.2716,                0.58186,                0.35582,                0.91826,                 0.9926,                      1,                  0.995,                0.81331,                 0.9926,                      1,                  0.995,                0.73353,                0.78586,                 1.2536,                0.66101,                0.50529,                 1.4389,              0.0008714,              0.0008714,              0.0008714
                    116,                0.44956,                 1.0918,                0.58255,                0.35229,                0.92538,                0.99257,                      1,                  0.995,                0.84349,                0.99257,                      1,                  0.995,                0.77149,                0.76793,                 1.2326,                0.66279,                0.48369,                 1.4441,              0.0008615,              0.0008615,              0.0008615
                    117,                0.50068,                  1.444,                0.59982,                0.38818,                0.96885,                0.99293,                      1,                  0.995,                0.83333,                0.99293,                      1,                  0.995,                0.80458,                0.76531,                 1.2371,                0.66454,                0.48265,                 1.4272,              0.0008516,              0.0008516,              0.0008516
                    118,                0.41022,                 1.1544,                0.58484,                0.34669,                0.89385,                0.99293,                      1,                  0.995,                0.83333,                0.99293,                      1,                  0.995,                0.80458,                0.76531,                 1.2371,                0.66454,                0.48265,                 1.4272,              0.0008417,              0.0008417,              0.0008417
                    119,                0.49589,                 1.2524,                0.58515,                  0.374,                0.93058,                0.99324,                      1,                  0.995,                0.86209,                0.99324,                      1,                  0.995,                0.74516,                0.73581,                 1.2186,                0.66483,                0.46733,                 1.4446,              0.0008318,              0.0008318,              0.0008318
                    120,                0.41682,                 1.0989,                0.59786,                0.33254,                0.90291,                0.99312,                      1,                  0.995,                0.85619,                0.99312,                      1,                  0.995,                0.76839,                0.72195,                  1.096,                0.66368,                0.43057,                 1.4275,              0.0008219,              0.0008219,              0.0008219
                    121,                0.46481,                 1.3169,                 0.5722,                0.37218,                0.91283,                0.99312,                      1,                  0.995,                0.85619,                0.99312,                      1,                  0.995,                0.76839,                0.72195,                  1.096,                0.66368,                0.43057,                 1.4275,               0.000812,               0.000812,               0.000812
                    122,                0.43118,                 1.3444,                0.59887,                0.33072,                0.88925,                0.99247,                      1,                  0.995,                0.85085,                0.99247,                      1,                  0.995,                0.82158,                0.72069,                0.96963,                0.66413,                0.41101,                 1.4232,              0.0008021,              0.0008021,              0.0008021
                    123,                0.43613,                 1.2485,                0.59214,                 0.3416,                0.92027,                0.99158,                      1,                  0.995,                0.89068,                0.99158,                      1,                  0.995,                0.80807,                0.73436,                0.91772,                0.66406,                0.42341,                 1.3909,              0.0007922,              0.0007922,              0.0007922
                    124,                0.41719,                  1.045,                0.58392,                0.32349,                0.88523,                0.99158,                      1,                  0.995,                0.89068,                0.99158,                      1,                  0.995,                0.80807,                0.73436,                0.91772,                0.66406,                0.42341,                 1.3909,              0.0007823,              0.0007823,              0.0007823
                    125,                0.43582,                 1.2536,                 0.5979,                0.34783,                 0.9227,                0.99092,                      1,                  0.995,                0.88043,                0.99092,                      1,                  0.995,                0.79872,                0.77077,                 0.9603,                0.66285,                0.41561,                 1.3906,              0.0007724,              0.0007724,              0.0007724
                    126,                0.48882,                 1.3031,                0.57819,                0.34707,                0.91468,                0.99096,                      1,                  0.995,                0.85096,                0.99096,                      1,                  0.995,                0.83728,                0.73514,                0.97012,                0.66361,                0.38148,                 1.3403,              0.0007625,              0.0007625,              0.0007625
                    127,                0.55547,                 1.5932,                0.57033,                0.38301,                0.94113,                0.99096,                      1,                  0.995,                0.85096,                0.99096,                      1,                  0.995,                0.83728,                0.73514,                0.97012,                0.66361,                0.38148,                 1.3403,              0.0007526,              0.0007526,              0.0007526
                    128,                0.44661,                 1.5641,                0.56381,                0.35763,                0.94753,                0.99115,                      1,                  0.995,                0.86476,                0.99115,                      1,                  0.995,                0.80332,                0.69921,                0.96937,                0.66478,                0.37419,                 1.3331,              0.0007427,              0.0007427,              0.0007427
                    129,                0.48559,                 1.5134,                0.61538,                0.39021,                0.96781,                0.99075,                      1,                  0.995,                0.85269,                0.99075,                      1,                  0.995,                0.81552,                0.71145,                 1.0477,                0.66906,                0.39639,                 1.3252,              0.0007328,              0.0007328,              0.0007328
                    130,                0.39852,                0.96364,                0.57446,                0.33035,                 0.8983,                0.99075,                      1,                  0.995,                0.85269,                0.99075,                      1,                  0.995,                0.81552,                0.71145,                 1.0477,                0.66906,                0.39639,                 1.3252,              0.0007229,              0.0007229,              0.0007229
                    131,                 0.4959,                 1.5326,                0.58489,                0.40616,                0.94411,                 0.9904,                      1,                  0.995,                0.85689,                 0.9904,                      1,                  0.995,                0.81871,                0.73396,                 1.0604,                0.66797,                0.44598,                 1.3014,               0.000713,               0.000713,               0.000713
                    132,                0.43467,                 1.3679,                0.59775,                0.33336,                0.88895,                0.99018,                      1,                  0.995,                0.87048,                0.99018,                      1,                  0.995,                0.79139,                0.74656,                 1.1246,                0.67028,                 0.4345,                 1.2997,              0.0007031,              0.0007031,              0.0007031
                    133,                0.45384,                0.91307,                0.57048,                 0.3288,                0.95331,                0.99018,                      1,                  0.995,                0.87048,                0.99018,                      1,                  0.995,                0.79139,                0.74656,                 1.1246,                0.67028,                 0.4345,                 1.2997,              0.0006932,              0.0006932,              0.0006932
                    134,                0.41972,                 1.3749,                0.60602,                0.33828,                0.93263,                0.99052,                      1,                  0.995,                0.86457,                0.99052,                      1,                  0.995,                0.74056,                0.77546,                 1.1947,                0.66825,                0.47927,                 1.3041,              0.0006833,              0.0006833,              0.0006833
                    135,                0.53493,                 1.6222,                0.59079,                0.37556,                 0.9293,                0.99077,                      1,                  0.995,                0.82538,                0.99077,                      1,                  0.995,                 0.7669,                0.81658,                 1.1665,                0.66705,                0.46854,                 1.3218,              0.0006734,              0.0006734,              0.0006734
                    136,                0.44856,                 1.2922,                 0.5897,                0.34625,                0.89664,                0.99077,                      1,                  0.995,                0.82538,                0.99077,                      1,                  0.995,                 0.7669,                0.81658,                 1.1665,                0.66705,                0.46854,                 1.3218,              0.0006635,              0.0006635,              0.0006635
                    137,                0.48012,                0.97381,                 0.5721,                0.36575,                 0.9098,                0.99095,                      1,                  0.995,                0.84254,                0.99095,                      1,                  0.995,                  0.795,                0.80845,                 1.0906,                0.66633,                0.42701,                 1.3224,              0.0006536,              0.0006536,              0.0006536
                    138,                0.46632,                  1.057,                0.56964,                 0.3485,                0.88553,                0.99087,                      1,                  0.995,                0.81615,                0.99087,                      1,                  0.995,                0.80463,                0.81662,                 1.0087,                0.66548,                0.44653,                 1.3331,              0.0006437,              0.0006437,              0.0006437
                    139,                0.42336,                0.85641,                0.56926,                0.28612,                0.86222,                0.99087,                      1,                  0.995,                0.81615,                0.99087,                      1,                  0.995,                0.80463,                0.81662,                 1.0087,                0.66548,                0.44653,                 1.3331,              0.0006338,              0.0006338,              0.0006338
                    140,                0.48466,                 1.4101,                0.58476,                0.35717,                0.92152,                0.99069,                      1,                  0.995,                0.79801,                0.99069,                      1,                  0.995,                0.79281,                0.83189,                0.95309,                0.66401,                0.45378,                 1.3631,              0.0006239,              0.0006239,              0.0006239
                    141,                0.40912,                 1.0666,                0.58298,                0.30944,                0.89235,                0.99244,                      1,                  0.995,                0.82474,                0.99244,                      1,                  0.995,                0.78179,                0.87653,                0.99762,                0.66306,                0.45063,                 1.4097,               0.000614,               0.000614,               0.000614
                    142,                0.41942,                 0.8485,                0.59728,                0.31391,                 0.9069,                0.99244,                      1,                  0.995,                0.82474,                0.99244,                      1,                  0.995,                0.78179,                0.87653,                0.99762,                0.66306,                0.45063,                 1.4097,              0.0006041,              0.0006041,              0.0006041
                    143,                0.45292,                 1.2906,                0.61853,                0.35996,                 0.9128,                0.99263,                      1,                  0.995,                0.80189,                0.99263,                      1,                  0.995,                0.79342,                0.91734,                 1.0205,                0.66186,                0.45968,                 1.4292,              0.0005942,              0.0005942,              0.0005942
                    144,                0.45291,                 1.2884,                0.56447,                0.34949,                 0.9175,                 0.9925,                      1,                  0.995,                0.82532,                 0.9925,                      1,                  0.995,                0.78208,                0.89042,                 1.0972,                0.66048,                0.42341,                 1.3909,              0.0005843,              0.0005843,              0.0005843
                    145,                0.40628,                 1.1151,                0.60578,                0.32078,                0.90884,                 0.9925,                      1,                  0.995,                0.82532,                 0.9925,                      1,                  0.995,                0.78208,                0.89042,                 1.0972,                0.66048,                0.42341,                 1.3909,              0.0005744,              0.0005744,              0.0005744
                    146,                0.40303,                 1.0817,                0.56867,                0.32806,                0.90433,                0.99192,                      1,                  0.995,                0.83456,                0.99192,                      1,                  0.995,                 0.7736,                0.79821,                 1.0786,                 0.6578,                0.40928,                 1.3196,              0.0005645,              0.0005645,              0.0005645
                    147,                0.35212,                0.89416,                0.57772,                 0.2937,                0.89409,                 0.9916,                      1,                  0.995,                0.83469,                 0.9916,                      1,                  0.995,                0.78294,                0.73463,                 1.0648,                 0.6582,                0.42497,                 1.2701,              0.0005546,              0.0005546,              0.0005546
                    148,                 0.4134,                 1.0093,                0.57879,                0.31937,                 0.9106,                 0.9916,                      1,                  0.995,                0.83469,                 0.9916,                      1,                  0.995,                0.78294,                0.73463,                 1.0648,                 0.6582,                0.42497,                 1.2701,              0.0005447,              0.0005447,              0.0005447
                    149,                0.39591,                0.98698,                0.59523,                0.31713,                0.94876,                0.99078,                      1,                  0.995,                0.83469,                0.99078,                      1,                  0.995,                0.76219,                0.74198,                  1.119,                0.66059,                0.42438,                 1.2818,              0.0005348,              0.0005348,              0.0005348
                    150,                0.45481,                 1.2389,                0.58611,                0.34062,                0.94271,                0.99016,                      1,                  0.995,                0.83227,                0.99016,                      1,                  0.995,                0.75975,                0.75587,                 1.1903,                0.66264,                0.43636,                 1.3138,              0.0005249,              0.0005249,              0.0005249
                    151,                 0.4675,                  1.271,                0.59986,                0.36433,                0.90938,                0.99016,                      1,                  0.995,                0.83227,                0.99016,                      1,                  0.995,                0.75975,                0.75587,                 1.1903,                0.66264,                0.43636,                 1.3138,               0.000515,               0.000515,               0.000515
                    152,                0.44458,                 1.1165,                0.57755,                0.33596,                0.94687,                0.99046,                      1,                  0.995,                0.83242,                0.99046,                      1,                  0.995,                0.76009,                0.77708,                 1.2034,                  0.664,                0.43649,                 1.3441,              0.0005051,              0.0005051,              0.0005051
                    153,                0.39193,                 1.3145,                0.59743,                0.32075,                0.91606,                0.99051,                      1,                  0.995,                0.83212,                0.99051,                      1,                  0.995,                0.73705,                0.80952,                 1.1992,                0.66559,                0.46548,                    1.4,              0.0004952,              0.0004952,              0.0004952
                    154,                0.41168,                 1.1557,                0.60137,                0.31766,                0.88028,                0.99051,                      1,                  0.995,                0.83212,                0.99051,                      1,                  0.995,                0.73705,                0.80952,                 1.1992,                0.66559,                0.46548,                    1.4,              0.0004853,              0.0004853,              0.0004853
                    155,                0.41523,                0.93344,                0.57798,                0.31092,                0.92993,                0.99048,                      1,                  0.995,                0.81127,                0.99048,                      1,                  0.995,                0.72396,                0.84436,                  1.171,                0.66583,                0.47254,                 1.4092,              0.0004754,              0.0004754,              0.0004754
                    156,                0.38223,                0.85019,                0.55007,                0.32311,                0.87653,                0.99056,                      1,                  0.995,                0.80048,                 0.8253,                0.83333,                0.83193,                0.72277,                0.82044,                 1.1205,                0.66446,                0.46189,                 1.3847,              0.0004655,              0.0004655,              0.0004655
                    157,                0.39553,                 1.1553,                0.58187,                0.34471,                0.90972,                0.99056,                      1,                  0.995,                0.80048,                 0.8253,                0.83333,                0.83193,                0.72277,                0.82044,                 1.1205,                0.66446,                0.46189,                 1.3847,              0.0004556,              0.0004556,              0.0004556
                    158,                0.46886,                0.99328,                0.58287,                0.32041,                0.96417,                0.99099,                      1,                  0.995,                0.81052,                 0.8253,                0.83333,                 0.8341,                0.71604,                0.80006,                 1.0989,                0.66341,                0.45874,                 1.3657,              0.0004457,              0.0004457,              0.0004457
                    159,                0.37421,                 1.0936,                0.58573,                0.31462,                0.90515,                0.99077,                      1,                  0.995,                0.81052,                0.99077,                      1,                  0.995,                 0.7359,                0.80271,                 1.0774,                0.66295,                0.45296,                 1.3663,              0.0004358,              0.0004358,              0.0004358
                    160,                0.39348,                0.96356,                0.58258,                0.30755,                0.89439,                0.99077,                      1,                  0.995,                0.81052,                0.99077,                      1,                  0.995,                 0.7359,                0.80271,                 1.0774,                0.66295,                0.45296,                 1.3663,              0.0004259,              0.0004259,              0.0004259
                    161,                0.43637,                 1.1341,                0.56006,                0.35001,                0.90091,                0.99062,                      1,                  0.995,                 0.8657,                0.99062,                      1,                  0.995,                 0.7624,                0.79236,                 1.0722,                0.66209,                0.43836,                 1.3738,               0.000416,               0.000416,               0.000416
                    162,                0.38682,                 0.8495,                0.57067,                0.31413,                0.88123,                0.99127,                      1,                  0.995,                0.86559,                0.99127,                      1,                  0.995,                0.79993,                0.77099,                 1.0996,                0.66318,                0.42961,                 1.3737,              0.0004061,              0.0004061,              0.0004061
                    163,                0.36102,                 1.1753,                0.60082,                0.30264,                0.93617,                0.99127,                      1,                  0.995,                0.86559,                0.99127,                      1,                  0.995,                0.79993,                0.77099,                 1.0996,                0.66318,                0.42961,                 1.3737,              0.0003962,              0.0003962,              0.0003962
                    164,                0.40101,                 1.1387,                0.57476,                0.32187,                0.92642,                0.99148,                      1,                  0.995,                0.84334,                0.99148,                      1,                  0.995,                0.80497,                0.75461,                 1.0986,                0.66107,                0.43115,                 1.3501,              0.0003863,              0.0003863,              0.0003863
                    165,                0.37227,                0.79732,                0.56728,                0.29366,                0.92136,                0.99165,                      1,                  0.995,                0.85525,                0.99165,                      1,                  0.995,                0.80678,                0.74954,                 1.1242,                0.66141,                0.43038,                 1.3498,              0.0003764,              0.0003764,              0.0003764
                    166,                0.41145,                 1.0388,                0.59155,                0.31852,                0.90756,                0.99165,                      1,                  0.995,                0.85525,                0.99165,                      1,                  0.995,                0.80678,                0.74954,                 1.1242,                0.66141,                0.43038,                 1.3498,              0.0003665,              0.0003665,              0.0003665
                    167,                 0.4435,                 1.2436,                0.58268,                 0.3252,                0.91221,                0.99172,                      1,                  0.995,                0.84311,                0.99172,                      1,                  0.995,                0.77455,                0.74736,                 1.1586,                0.66225,                0.43719,                 1.3581,              0.0003566,              0.0003566,              0.0003566
                    168,                0.36934,                 1.0074,                0.56318,                0.31941,                0.90102,                0.99185,                      1,                  0.995,                0.85313,                0.99185,                      1,                  0.995,                0.75685,                0.74748,                 1.1855,                0.66297,                0.45658,                 1.3636,              0.0003467,              0.0003467,              0.0003467
                    169,                0.38106,                 1.2324,                0.59516,                 0.2959,                0.89013,                0.99185,                      1,                  0.995,                0.85313,                0.99185,                      1,                  0.995,                0.75685,                0.74748,                 1.1855,                0.66297,                0.45658,                 1.3636,              0.0003368,              0.0003368,              0.0003368
                    170,                0.34143,                 1.0617,                0.59145,                0.28045,                0.88119,                0.99167,                      1,                  0.995,                0.85313,                0.99167,                      1,                  0.995,                 0.7583,                0.76674,                 1.2113,                0.66217,                0.44761,                 1.3701,              0.0003269,              0.0003269,              0.0003269
                    171,                0.39194,                 1.0829,                 0.5867,                0.32105,                0.91467,                 0.9915,                      1,                  0.995,                0.85331,                 0.9915,                      1,                  0.995,                0.74676,                0.76846,                  1.207,                0.66138,                0.44766,                 1.3526,               0.000317,               0.000317,               0.000317
                    172,                0.42745,                 1.1491,                0.55823,                0.30887,                0.91457,                 0.9915,                      1,                  0.995,                0.85331,                 0.9915,                      1,                  0.995,                0.74676,                0.76846,                  1.207,                0.66138,                0.44766,                 1.3526,              0.0003071,              0.0003071,              0.0003071
                    173,                0.38749,                  1.127,                0.58936,                 0.3161,                0.87426,                0.99214,                      1,                  0.995,                0.86513,                0.99214,                      1,                  0.995,                0.76211,                0.76792,                 1.2453,                0.66033,                0.47495,                 1.3292,              0.0002972,              0.0002972,              0.0002972
                    174,                   0.35,                0.95819,                0.58462,                0.29325,                0.90521,                0.99204,                      1,                  0.995,                0.85313,                0.89933,                0.83333,                0.84603,                0.74787,                0.75619,                 1.1981,                0.66081,                0.46492,                 1.3061,              0.0002873,              0.0002873,              0.0002873
                    175,                0.40505,                 1.0129,                0.56175,                0.31092,                0.90957,                0.99204,                      1,                  0.995,                0.85313,                0.89933,                0.83333,                0.84603,                0.74787,                0.75619,                 1.1981,                0.66081,                0.46492,                 1.3061,              0.0002774,              0.0002774,              0.0002774
                    176,                0.36239,                0.89887,                0.58244,                0.29368,                0.92914,                0.99215,                      1,                  0.995,                0.83857,                0.88951,                0.83333,                0.84546,                0.74716,                0.75257,                  1.166,                 0.6599,                0.46307,                 1.3016,              0.0002675,              0.0002675,              0.0002675
                    177,                0.37781,                0.94936,                0.57404,                0.31638,                 0.9121,                0.99195,                      1,                  0.995,                 0.8487,                0.99195,                      1,                  0.995,                0.76276,                0.74916,                 1.1289,                0.66161,                0.46381,                 1.3121,              0.0002576,              0.0002576,              0.0002576
                    178,                0.40387,                 1.0617,                0.58761,                0.32605,                0.96097,                0.99195,                      1,                  0.995,                 0.8487,                0.99195,                      1,                  0.995,                0.76276,                0.74916,                 1.1289,                0.66161,                0.46381,                 1.3121,              0.0002477,              0.0002477,              0.0002477
                    179,                0.39136,                 1.1776,                 0.5704,                0.30483,                0.92251,                0.99206,                      1,                  0.995,                0.84861,                0.99206,                      1,                  0.995,                0.80858,                0.74999,                  1.104,                 0.6629,                0.47958,                 1.3243,              0.0002378,              0.0002378,              0.0002378
                    180,                0.37947,                0.79265,                 0.5578,                0.32599,                0.95186,                0.99189,                      1,                  0.995,                0.84888,                0.99189,                      1,                  0.995,                 0.8094,                0.78206,                 1.1347,                0.66573,                0.46376,                 1.3636,              0.0002279,              0.0002279,              0.0002279
                    181,                0.32544,                 0.8937,                0.54848,                0.28284,                0.88242,                0.99189,                      1,                  0.995,                0.84888,                0.99189,                      1,                  0.995,                 0.8094,                0.78206,                 1.1347,                0.66573,                0.46376,                 1.3636,               0.000218,               0.000218,               0.000218
                    182,                0.36236,                 1.0942,                0.59485,                0.32068,                0.88702,                 0.9918,                      1,                  0.995,                0.82825,                 0.9918,                      1,                  0.995,                0.77563,                0.80197,                 1.1695,                0.66651,                0.46361,                 1.3972,              0.0002081,              0.0002081,              0.0002081
                    183,                0.36173,                 0.9965,                0.59268,                0.31316,                0.91518,                0.99162,                      1,                  0.995,                0.82813,                0.99162,                      1,                  0.995,                0.77534,                 0.8138,                 1.2039,                0.66728,                0.45891,                 1.4148,              0.0001982,              0.0001982,              0.0001982
                    184,                0.34516,                0.94734,                0.56794,                0.29936,                0.90515,                0.99162,                      1,                  0.995,                0.82813,                0.99162,                      1,                  0.995,                0.77534,                 0.8138,                 1.2039,                0.66728,                0.45891,                 1.4148,              0.0001883,              0.0001883,              0.0001883
                    185,                0.32356,                0.73704,                0.59293,                0.27512,                0.89867,                0.99159,                      1,                  0.995,                0.82802,                0.99159,                      1,                  0.995,                0.71985,                0.82011,                 1.2277,                0.66772,                0.45111,                 1.4267,              0.0001784,              0.0001784,              0.0001784
                    186,                0.34407,                  0.744,                0.59217,                0.27136,                0.90049,                0.99127,                      1,                  0.995,                0.82802,                0.99127,                      1,                  0.995,                0.71985,                0.81149,                 1.2531,                0.66785,                0.44318,                 1.4244,              0.0001685,              0.0001685,              0.0001685
                    187,                 0.3568,                0.84577,                0.53959,                0.29016,                0.89485,                0.99127,                      1,                  0.995,                0.82802,                0.99127,                      1,                  0.995,                0.71985,                0.81149,                 1.2531,                0.66785,                0.44318,                 1.4244,              0.0001586,              0.0001586,              0.0001586
                    188,                0.31786,                0.63019,                0.58774,                0.27711,                0.88522,                0.99117,                      1,                  0.995,                0.82802,                0.83306,                0.83333,                0.84574,                0.70492,                0.80373,                 1.2608,                0.66803,                0.44256,                 1.4271,              0.0001487,              0.0001487,              0.0001487
                    189,                 0.3417,                 1.1237,                0.56436,                0.29783,                0.87029,                0.99081,                      1,                  0.995,                0.82825,                0.83292,                0.83333,                0.84633,                0.71136,                 0.7938,                 1.2292,                 0.6658,                0.44192,                 1.4301,              0.0001388,              0.0001388,              0.0001388
