                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.60348,                 2.2181,                0.61327,                 0.4919,                 1.0017,                0.98225,                0.66667,                0.88243,                0.63598,                0.92267,                    0.5,                0.75714,                 0.5264,                0.99212,                 1.8305,                0.64265,                0.91435,                 1.4604,             0.00080199,             0.00080199,             0.00080199
                     24,                0.60499,                 1.9966,                0.59487,                0.51015,                 1.0016,                0.78487,                0.83333,                0.89394,                0.58882,                0.62319,                0.66667,                0.68919,                 0.5339,                 1.0796,                 1.8154,                0.64313,                0.92995,                 1.4817,             0.00083298,             0.00083298,             0.00083298
                     25,                0.64678,                 2.6793,                0.61688,                0.54098,                 0.9985,                0.85252,                0.96762,                0.97214,                0.59137,                0.55812,                0.63562,                0.62104,                0.53407,                  1.134,                 1.8617,                0.64695,                0.89746,                 1.5347,             0.00086358,             0.00086358,             0.00086358
                     26,                0.60438,                 2.1933,                0.63203,                0.46876,                0.95719,                0.95528,                      1,                  0.995,                0.60184,                0.63412,                0.66667,                0.65326,                0.55768,                 1.1478,                 1.9496,                 0.6514,                  0.853,                 1.5697,             0.00089377,             0.00089377,             0.00089377
                     27,                 0.6103,                  2.185,                0.59993,                0.51456,                0.98857,                0.85433,                0.98034,                0.94786,                0.68431,                0.73921,                      1,                   0.87,                0.49256,                 1.1016,                 1.8794,                0.65341,                0.72661,                 1.5496,             0.00092358,             0.00092358,             0.00092358
                     28,                0.52683,                 2.1028,                0.62985,                0.40584,                0.91257,                0.95894,                      1,                  0.995,                0.69573,                0.84796,                      1,                0.92357,                0.56606,                 1.0364,                 1.6902,                0.65588,                0.66012,                 1.4934,             0.00095298,             0.00095298,             0.00095298
                     29,                0.57696,                 1.9861,                0.60984,                0.42189,                0.98951,                0.93217,                      1,                  0.995,                0.73281,                0.93217,                      1,                  0.995,                0.58309,                0.91252,                 1.6568,                 0.6579,                0.69186,                   1.38,               0.000982,               0.000982,               0.000982
                     30,                0.62413,                 2.1303,                0.63178,                0.45711,                 1.0278,                0.82322,                      1,                  0.995,                0.77347,                0.82322,                      1,                  0.995,                0.52717,                0.86933,                 1.7491,                0.66179,                0.71016,                 1.3499,              0.0010106,              0.0010106,              0.0010106
                     31,                0.61191,                 1.8378,                0.59667,                0.54109,                 1.0044,                0.85561,                      1,                  0.995,                0.74049,                0.71177,                0.83333,                0.75548,                0.49863,                0.87175,                 1.7605,                0.66947,                0.69191,                  1.352,              0.0010388,              0.0010388,              0.0010388
                     32,                0.57323,                 2.0247,                0.60234,                 0.4363,                0.95226,                0.98102,                      1,                  0.995,                0.76217,                0.98102,                      1,                  0.995,                0.58619,                0.87184,                  1.571,                0.67599,                0.57775,                 1.3386,              0.0010667,              0.0010667,              0.0010667
