                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91611,                  1.389,                 1.0933,                0.19522,                0.33333,                0.12213,                0.04028,                 2.0854,                 3.9137,                 1.9565,              0.0012871,              0.0012871,              0.0012871
                     36,                0.83374,                 1.6198,                 1.2346,                0.16151,                0.33333,                 0.1256,                0.04276,                 1.8363,                 3.8505,                  1.856,              0.0013216,              0.0013216,              0.0013216
                     37,                0.81899,                   1.38,                 1.0458,                0.16151,                0.33333,                 0.1256,                0.04276,                 1.8363,                 3.8505,                  1.856,              0.0013559,              0.0013559,              0.0013559
                     38,                0.81459,                 1.4103,                 1.1016,                0.19989,                0.33333,                0.15958,                0.09898,                 1.6279,                 3.4852,                 1.8522,              0.0013901,              0.0013901,              0.0013901
                     39,                0.80793,                 1.4942,                 1.1368,                0.44995,                0.33333,                  0.503,                0.29742,                 1.7045,                 3.1414,                 1.8537,              0.0014241,              0.0014241,              0.0014241
                     40,                0.69651,                 1.1687,                 1.0421,                0.44995,                0.33333,                  0.503,                0.29742,                 1.7045,                 3.1414,                 1.8537,               0.001458,               0.001458,               0.001458
                     41,                0.76075,                 1.2685,                 1.0129,                0.46605,                0.66667,                0.56138,                0.21697,                 1.6496,                 3.2168,                 1.7538,              0.0014917,              0.0014917,              0.0014917
                     42,                0.78758,                 1.2216,                 1.0459,                0.61241,                0.66667,                0.75785,                0.29374,                 1.7282,                 2.9845,                 2.3358,              0.0015252,              0.0015252,              0.0015252
                     43,                0.85314,                 1.3909,                 1.1292,                0.61241,                0.66667,                0.75785,                0.29374,                 1.7282,                 2.9845,                 2.3358,              0.0015586,              0.0015586,              0.0015586
                     44,                0.90573,                 1.5551,                 1.1603,                0.61197,                      1,                0.82833,                 0.2267,                 1.7549,                 2.8046,                 3.1414,              0.0015919,              0.0015919,              0.0015919
                     45,                0.73108,                 1.4454,                 1.0379,                0.78722,                0.62408,                0.74983,                0.27449,                 1.6516,                 2.7329,                 2.5145,              0.0016249,              0.0016249,              0.0016249
                     46,                0.70937,                 1.1974,                 1.0472,                0.78722,                0.62408,                0.74983,                0.27449,                 1.6516,                 2.7329,                 2.5145,              0.0016578,              0.0016578,              0.0016578
                     47,                0.96668,                  1.863,                 1.4064,                0.79794,                0.65981,                0.59546,                0.27614,                 1.5935,                 2.8623,                 1.8314,              0.0016906,              0.0016906,              0.0016906
                     48,                0.67608,                 1.3358,                 1.0592,                0.39332,                    0.5,                0.35955,                0.20908,                 1.8121,                 2.8789,                 2.0261,              0.0017232,              0.0017232,              0.0017232
                     49,                0.72037,                 1.0527,                 1.0089,                0.39332,                    0.5,                0.35955,                0.20908,                 1.8121,                 2.8789,                 2.0261,              0.0017556,              0.0017556,              0.0017556
                     50,                0.67525,                 1.0697,                 1.0254,                0.49161,                0.33333,                0.18354,                0.15817,                 1.5163,                 2.9325,                 1.7294,              0.0017879,              0.0017879,              0.0017879
                     51,                0.77927,                 1.1259,                 1.0169,                0.52061,                0.33333,                0.43333,                0.20876,                 1.6297,                 2.5846,                 1.9243,               0.001802,               0.001802,               0.001802
                     52,                0.77856,                 1.3574,                0.96143,                0.52061,                0.33333,                0.43333,                0.20876,                 1.6297,                 2.5846,                 1.9243,               0.001798,               0.001798,               0.001798
                     53,                 1.0071,                 1.5625,                 1.2734,                0.79218,                0.66667,                  0.747,                0.38179,                  1.394,                 2.3168,                 1.8015,              0.0017941,              0.0017941,              0.0017941
                     54,                 0.8026,                 1.1123,                 1.0827,                0.76662,                0.66667,                0.73478,                0.41164,                  1.362,                 2.1588,                 1.7806,              0.0017901,              0.0017901,              0.0017901
                     55,                0.61253,                0.99932,                 1.0191,                0.76662,                0.66667,                0.73478,                0.41164,                  1.362,                 2.1588,                 1.7806,              0.0017862,              0.0017862,              0.0017862
                     56,                0.80695,                 1.0947,                 1.0672,                      1,                0.64473,                  0.782,                0.49484,                 1.0806,                 1.9129,                 1.6354,              0.0017822,              0.0017822,              0.0017822
                     57,                0.74023,                 1.2023,                 1.0596,                0.79415,                0.64715,                 0.7008,                0.49371,                 1.0514,                 2.0969,                 1.7635,              0.0017782,              0.0017782,              0.0017782
                     58,                0.86947,                  1.209,                 1.1408,                0.79415,                0.64715,                 0.7008,                0.49371,                 1.0514,                 2.0969,                 1.7635,              0.0017743,              0.0017743,              0.0017743
                     59,                0.80303,                 1.0677,                 1.0123,                0.79434,                0.64779,                0.69068,                0.46941,                 1.2332,                 1.9431,                   1.81,              0.0017703,              0.0017703,              0.0017703
                     60,                0.75966,                 1.2023,                 1.0406,                0.70479,                 0.8001,                0.68197,                0.50272,                 1.1238,                 1.8594,                 1.6058,              0.0017664,              0.0017664,              0.0017664
                     61,                0.68137,                 1.0205,                0.97316,                0.70479,                 0.8001,                0.68197,                0.50272,                 1.1238,                 1.8594,                 1.6058,              0.0017624,              0.0017624,              0.0017624
                     62,                0.87184,                 1.2219,                 1.1234,                0.54654,                0.60858,                0.52971,                0.41124,                 1.0287,                 1.8855,                 1.2484,              0.0017584,              0.0017584,              0.0017584
                     63,                0.86457,                 1.1741,                 1.2382,                0.61167,                0.33333,                0.37745,                0.32181,                  1.073,                 2.3382,                 1.3777,              0.0017545,              0.0017545,              0.0017545
                     64,                0.79628,                0.97946,                0.99974,                0.61167,                0.33333,                0.37745,                0.32181,                  1.073,                 2.3382,                 1.3777,              0.0017505,              0.0017505,              0.0017505
                     65,                0.83811,                  1.038,                 1.1391,                0.91073,                0.33333,                 0.4531,                0.33242,                 1.1212,                 2.4546,                 1.4672,              0.0017466,              0.0017466,              0.0017466
                     66,                0.81685,                 1.0458,                 1.0414,                0.92397,                0.33333,                0.42057,                0.29667,                  1.053,                 2.5353,                 1.4684,              0.0017426,              0.0017426,              0.0017426
                     67,                0.69344,                0.99869,                 1.0903,                0.92397,                0.33333,                0.42057,                0.29667,                  1.053,                 2.5353,                 1.4684,              0.0017386,              0.0017386,              0.0017386
                     68,                0.98106,                 1.1036,                 1.2358,                0.61224,                0.66667,                0.57571,                0.29555,                  1.729,                 2.3896,                 1.9226,              0.0017347,              0.0017347,              0.0017347
                     69,                0.73519,                 1.0596,                 1.0511,                0.82798,                0.80658,                0.78572,                0.39949,                 1.5879,                 2.1505,                 2.0561,              0.0017307,              0.0017307,              0.0017307
